,Mean,Confidence Interval
Loading the Login page,0.22999999999999998,"(np.float64(0.21036756838522438), np.float64(0.24963243161477558))"
Loading the Dashboard after logging in,7.4,"(np.float64(7.352718843579802), np.float64(7.447281156420199))"
Going to Profile,0.31,"(np.float64(0.2903675683852244), np.float64(0.3296324316147756))"
Viewing upcoming bookings,0.52,"(np.float64(0.5003675683852244), np.float64(0.5396324316147756))"
Viewing upcoming bookings through the calendar,1.85,"(np.float64(1.8027188435798016), np.float64(1.8972811564201986))"
Updating ground details,0.65,"(np.float64(0.6303675683852245), np.float64(0.6696324316147756))"
Uploading new ground images,3.5,"(np.float64(3.4527188435798015), np.float64(3.5472811564201985))"
Viewing reviews for a specific ground,0.58,"(np.float64(0.5603675683852244), np.float64(0.5996324316147755))"
Editing contact information,0.6,"(np.float64(0.5803675683852244), np.float64(0.6196324316147755))"
Viewing analytics for venue performance,0.72,"(np.float64(0.7003675683852244), np.float64(0.7396324316147755))"
Submitting a help request to the admin,0.9099999999999999,"(np.float64(0.8903675683852244), np.float64(0.9296324316147755))"
